localidade;municipio;aparelho_pesca;pescado;kg_periodo;n_descargas;n_ups;valor
Litoral Centro;Bertioga;arrasto-de-mão;Bagre;370,00;2,00;1,00;R$ 1.665,00
Litoral Centro;Bertioga;arrasto-de-mão;Bagre-amarelo;70,00;3,00;1,00;R$ 335,00
Litoral Centro;Bertioga;arrasto-de-mão;Betara;21,00;2,00;1,00;R$ 168,00
Litoral Centro;Bertioga;arrasto-de-mão;Bicuda;1,00;1,00;1,00;R$ 10,00
Litoral Centro;Bertioga;arrasto-de-mão;Caratinga;15,00;2,00;1,00;R$ 30,00
Litoral Centro;Bertioga;arrasto-de-mão;Corvina;251,00;7,00;2,00;R$ 3.445,00
Litoral Centro;Bertioga;arrasto-de-mão;Enchova;4,00;1,00;1,00;R$ 48,00
Litoral Centro;Bertioga;arrasto-de-mão;Espada;42,00;8,00;2,00;R$ 210,00
Litoral Centro;Bertioga;arrasto-de-mão;Galo;15,00;1,00;1,00;R$ 0,00
Litoral Centro;Bertioga;arrasto-de-mão;Mistura;13,00;2,00;1,00;R$ 52,50
Litoral Centro;Bertioga;arrasto-de-mão;Oveva;1727,00;3,00;3,00;R$ 5.232,00
Litoral Centro;Bertioga;arrasto-de-mão;Paru;14,00;1,00;1,00;R$ 210,00
Litoral Centro;Bertioga;arrasto-de-mão;Pescada-banana;539,00;24,00;3,00;R$ 5.814,00
Litoral Centro;Bertioga;arrasto-de-mão;Pescada-branca;339,00;22,00;2,00;R$ 3.390,00
Litoral Centro;Bertioga;arrasto-de-mão;Pescada-cambucu;50,00;1,00;1,00;R$ 500,00
Litoral Centro;Bertioga;arrasto-de-mão;Pescada-foguete;81,00;2,00;1,00;R$ 1.215,00
Litoral Centro;Bertioga;arrasto-de-mão;Robalo-flecha;657,80;31,00;3,00;R$ 23.089,00
Litoral Centro;Bertioga;arrasto-de-mão;Robalo-peva;802,00;42,00;3,00;R$ 14.436,00
Litoral Centro;Bertioga;arrasto-de-mão;Sari-sari;252,00;12,00;1,00;R$ 1.134,00
Litoral Centro;Bertioga;arrasto-de-mão;Sororoca;14,00;2,00;1,00;R$ 140,00
Litoral Centro;Bertioga;arrasto-de-mão;Tainha;327,50;17,00;3,00;R$ 3.828,00
